,Name,Price,Address,Info
2129,4 bedroom flat / apartment for rent,"30,000,000","  Victoria Island (VI), Lagos",4 Bedrooms5 Bathrooms4 Toilets2 Parking Spaces Save
2130,3 bedroom flat / apartment for rent,"20,000,000","  Ikoyi, Lagos",3 Bedrooms4 Bathrooms3 Toilets2 Parking Spaces Save
2131,3 bedroom flat / apartment for rent,"30,000,000","  Banana Island, Ikoyi, Lagos",3 Bedrooms4 Bathrooms3 Toilets2 Parking Spaces Save
2132,1 bedroom mini flat (room and parlour) for rent,"1,300,000","  Olokonla, Ajah, Lagos",1 Bedroom1 Bathroom2 Toilets Save
2133,2 bedroom flat / apartment for rent,"3,500,000","  Orchid Road, Lekki, Lagos",2 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save
2134,3 bedroom flat / apartment for rent,"3,200,000","  Masha, Surulere, Lagos",3 Bedrooms3 Bathrooms4 Toilets1 Parking Space Save
2135,2 bedroom flat / apartment for rent,"1,500,000","  Ado Road, Ado, Ajah, Lagos",2 Bedrooms2 Bathrooms3 Toilets Save
2136,2 bedroom flat / apartment for rent,"3,500,000","  Lekki Conservation Area, Lekki, Lagos",2 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save
2137,1 bedroom mini flat (room and parlour) for rent,"1,300,000","  Ogombo, Ajah, Lagos",1 Bedroom1 Bathroom2 Toilets Save
2138,Self contain (single rooms) for rent,"800,000","  Yaba, Lagos",1 Bathroom1 Toilet Save
2139,1 bedroom mini flat (room and parlour) for rent,"300,000","  Igbe Laara, Ikorodu, Lagos",1 Bedroom1 Bathroom2 Toilets Save
2140,3 bedroom flat / apartment for rent,"1,600,000","  Ado Road, Ado, Ajah, Lagos",3 Bedrooms3 Bathrooms4 Toilets Save
2141,1 bedroom mini flat (room and parlour) for rent,"1,400,000","  Close To Abraham Adesanya Lekki, Ogombo, Ajah, Lagos",1 Bedroom1 Bathroom2 Toilets20 Parking Spaces Save
2142,1 bedroom flat / apartment for rent,"600,000","  Ikoyi, Lagos",1 Bedroom1 Bathroom Save
2143,1 bedroom mini flat (room and parlour) for rent,"3,000,000","  Paradise 2 Estate Chevron Alternative Route, Lekki, Lagos",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
2144,3 bedroom flat / apartment for rent,"6,500,000","  1004 Estate,, Victoria Island (VI), Lagos",3 Bedrooms3 Bathrooms4 Toilets Save
2145,2 bedroom flat / apartment for rent,"7,000,000","  Ikoyi, Lagos",2 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save
2146,5 bedroom flat / apartment for rent,"17,000,000","  Lekki Phase 1, Lekki, Lagos",5 Bedrooms5 Bathrooms6 Toilets2 Parking Spaces Save
2147,2 bedroom flat / apartment for rent,"4,500,000","  Osapa London, Osapa, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
2148,3 bedroom flat / apartment for rent,"2,000,000","  Off Kilo Bus Stop, Kilo, Surulere, Lagos",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2149,1 bedroom mini flat (room and parlour) for rent,"350,000","  Off Chevron Drive, Lekki, Lagos",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
2150,Self contain (single rooms) for rent,"2,000,000","  Oniru Estate, Oniru, Victoria Island (VI), Lagos",1 Bathroom1 Toilet1 Parking Space Save
2151,Self contain (single rooms) for rent,"300,000","  Off Chevron Drive, Lekki Phase 2, Lekki, Lagos",1 Bathroom1 Toilet1 Parking Space Save
2152,2 bedroom flat / apartment for rent,"7,000,000","  Ikate, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save
2153,1 bedroom mini flat (room and parlour) for rent,"1,000,000","  Kilo, Surulere, Lagos",1 Bedroom1 Bathroom2 Toilets8 Parking Spaces Save
2154,Self contain (single rooms) for rent,"900,000","  Gafari Street, Ogudu, Lagos",  Save
2155,2 bedroom flat / apartment for rent,"2,300,000","  GRA Phase 2, Magodo, Lagos",2 Bedrooms2 Bathrooms32 Toilets1 Parking Space Save
2156,5 bedroom flat / apartment for rent,"50,999,999","  Banana Island, Ikoyi, Lagos",5 Bedrooms5 Bathrooms6 Toilets2 Parking Spaces Save
2157,3 bedroom flat / apartment for rent,"15,000,000","  Victoria Island (VI), Lagos",3 Bedrooms3 Bathrooms4 Toilets10 Parking Spaces Save
2158,4 bedroom flat / apartment for rent,"35,000,000","  Old Ikoyi, Ikoyi, Lagos",4 Bedrooms4 Bathrooms5 Toilets Save
2159,2 bedroom flat / apartment for rent,"7,500,000","  Ikate, Lekki, Lagos",2 Bedrooms Save
2160,2 bedroom flat / apartment for rent,"3,000,000","  Ajah, Lagos",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
2161,Self contain (single rooms) for rent,"1,000,000","  Chevron, Lekki Phase 2, Lekki, Lagos",1 Bathroom1 Toilet1 Parking Space Save
2162,3 bedroom flat / apartment for rent,"1,500,000","  Shoprite Sangotedo, Ajah, Lagos",3 Bedrooms3 Bathrooms3 Toilets Save
2163,1 bedroom flat / apartment for rent,"600,000","  Ikoyi, Lagos",1 Bedroom1 Bathroom Save
2164,2 bedroom flat / apartment for rent,"5,000,000","  Horizon Estate, Nike Art Galary, Lekki, Lagos",2 Bedrooms3 Bathrooms3 Toilets Save
2165,Self contain (single rooms) for rent,"1,500,000","  Chevy View Estate, Lekki, Lagos",1 Bathroom1 Toilet Save
2166,2 bedroom flat / apartment for rent,"6,000,000","  Off Freedom Way, Lekki Phase 1, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
2167,3 bedroom flat / apartment for rent,"16,000,000","  Meadow Hall, Ikate Elegushi, Lekki, Lagos",3 Bedrooms4 Bathrooms4 Toilets Save
2168,2 bedroom flat / apartment for rent,"3,000,000","  GRA Phase 2, Magodo, Lagos",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
2169,Self contain (single rooms) for rent,"1,100,000","  Orchid Road, Lekki Phase 2, Lekki, Lagos",1 Bathroom1 Toilet3 Parking Spaces700 sqm Total Area Save
2170,3 bedroom flat / apartment for rent,"2,000,000","  Oko Ado, Before Sangotedo, Ajah, Lagos",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2171,3 bedroom flat / apartment for rent,"20,000,000","  Banana Island, Ikoyi, Lagos",3 Bedrooms3 Bathrooms4 Toilets Save
2172,2 bedroom flat / apartment for rent,"7,500,000","  Ikate Elegushi, Lekki Phase 1, Lekki, Lagos",2 Bedrooms3 Bathrooms3 Toilets Save
2173,2 bedroom flat / apartment for rent,"11,000,000","  Lekki Right Hand Side Oniru, Lekki Phase 1, Lekki, Lagos",2 Bedrooms3 Bathrooms3 Toilets Save
2174,2 bedroom flat / apartment for rent,"1,200,000","  Ogba, Ikeja, Lagos",2 Bedrooms2 Bathrooms2 Toilets Save
2175,3 bedroom flat / apartment for rent,"7,000,000","  Iconia Estate, Ikate, Lekki, Lagos",3 Bedrooms3 Bathrooms4 Toilets Save
2176,Self contain (single rooms) for rent,"1,200,000","  De-kings Court, Dpkay Estate, Off Orchid Road, Chevron, Lekki, Lagos",1 Bathroom1 Toilet2 Parking Spaces Save
2177,3 bedroom flat / apartment for rent,"8,500,000","  Highbrow, Lekki Phase 1, Lekki, Lagos",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2178,3 bedroom flat / apartment for rent,"10,000,000","  Ikate Elegushi, Lekki, Lagos",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
2179,1 bedroom mini flat (room and parlour) for rent,"2,700,000","  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
